zone,target_local,target_utc,day_ahead,buy_day_ahead,energy_bid_up,hold_capacity_up,unit
SE2,2026-09-21T15:00:00+02:00,2026-09-21T13:00:00+00:00,5.62,False,10.62,True,EUR/MWh
SE2,2026-09-21T15:15:00+02:00,2026-09-21T13:15:00+00:00,6.72,False,11.72,True,EUR/MWh
SE2,2026-09-21T15:30:00+02:00,2026-09-21T13:30:00+00:00,14.57,False,19.57,True,EUR/MWh
SE2,2026-09-21T15:45:00+02:00,2026-09-21T13:45:00+00:00,20.41,False,25.41,True,EUR/MWh
SE2,2026-09-21T16:00:00+02:00,2026-09-21T14:00:00+00:00,5.53,False,10.53,True,EUR/MWh
SE2,2026-09-21T16:15:00+02:00,2026-09-21T14:15:00+00:00,11.11,False,16.11,True,EUR/MWh
SE2,2026-09-21T16:30:00+02:00,2026-09-21T14:30:00+00:00,26.36,False,31.36,True,EUR/MWh
SE2,2026-09-21T16:45:00+02:00,2026-09-21T14:45:00+00:00,56.24,False,61.24,True,EUR/MWh
SE2,2026-09-21T17:00:00+02:00,2026-09-21T15:00:00+00:00,7.72,False,12.72,True,EUR/MWh
SE2,2026-09-21T17:15:00+02:00,2026-09-21T15:15:00+00:00,47.3,False,52.3,True,EUR/MWh
SE2,2026-09-21T17:30:00+02:00,2026-09-21T15:30:00+00:00,63.48,False,68.48,True,EUR/MWh
SE2,2026-09-21T17:45:00+02:00,2026-09-21T15:45:00+00:00,37.91,False,42.91,True,EUR/MWh
SE2,2026-09-21T18:00:00+02:00,2026-09-21T16:00:00+00:00,54.18,False,59.18,True,EUR/MWh
SE2,2026-09-21T18:15:00+02:00,2026-09-21T16:15:00+00:00,26.32,False,31.32,True,EUR/MWh
SE2,2026-09-21T18:30:00+02:00,2026-09-21T16:30:00+00:00,22.83,False,27.83,True,EUR/MWh
SE2,2026-09-21T18:45:00+02:00,2026-09-21T16:45:00+00:00,20.33,False,25.33,True,EUR/MWh
SE2,2026-09-21T19:00:00+02:00,2026-09-21T17:00:00+00:00,30.0,False,35.0,True,EUR/MWh
SE2,2026-09-21T19:15:00+02:00,2026-09-21T17:15:00+00:00,27.45,False,32.45,True,EUR/MWh
SE2,2026-09-21T19:30:00+02:00,2026-09-21T17:30:00+00:00,22.26,False,27.26,True,EUR/MWh
SE2,2026-09-21T19:45:00+02:00,2026-09-21T17:45:00+00:00,19.72,False,24.72,True,EUR/MWh
SE2,2026-09-21T20:00:00+02:00,2026-09-21T18:00:00+00:00,29.99,False,34.99,True,EUR/MWh
SE2,2026-09-21T20:15:00+02:00,2026-09-21T18:15:00+00:00,25.0,False,30.0,True,EUR/MWh
SE2,2026-09-21T20:30:00+02:00,2026-09-21T18:30:00+00:00,19.99,False,24.99,True,EUR/MWh
SE2,2026-09-21T20:45:00+02:00,2026-09-21T18:45:00+00:00,10.59,False,15.59,True,EUR/MWh
SE2,2026-09-21T21:00:00+02:00,2026-09-21T19:00:00+00:00,11.24,False,16.24,True,EUR/MWh
SE2,2026-09-21T21:15:00+02:00,2026-09-21T19:15:00+00:00,19.99,False,24.99,True,EUR/MWh
SE2,2026-09-21T21:30:00+02:00,2026-09-21T19:30:00+00:00,14.61,False,19.61,True,EUR/MWh
SE2,2026-09-21T21:45:00+02:00,2026-09-21T19:45:00+00:00,12.79,False,17.79,True,EUR/MWh
SE2,2026-09-21T22:00:00+02:00,2026-09-21T20:00:00+00:00,20.83,False,25.83,True,EUR/MWh
SE2,2026-09-21T22:15:00+02:00,2026-09-21T20:15:00+00:00,19.06,False,24.06,True,EUR/MWh
SE2,2026-09-21T22:30:00+02:00,2026-09-21T20:30:00+00:00,15.05,False,20.05,True,EUR/MWh
SE2,2026-09-21T22:45:00+02:00,2026-09-21T20:45:00+00:00,12.7,False,17.7,True,EUR/MWh
SE2,2026-09-21T23:00:00+02:00,2026-09-21T21:00:00+00:00,14.23,False,19.23,True,EUR/MWh
SE2,2026-09-21T23:15:00+02:00,2026-09-21T21:15:00+00:00,18.15,False,23.15,True,EUR/MWh
SE2,2026-09-21T23:30:00+02:00,2026-09-21T21:30:00+00:00,14.63,False,19.63,True,EUR/MWh
SE2,2026-09-21T23:45:00+02:00,2026-09-21T21:45:00+00:00,10.95,False,15.95,True,EUR/MWh
SE3,2026-09-21T00:00:00+02:00,2026-09-20T22:00:00+00:00,14.46,False,19.46,True,EUR/MWh
SE3,2026-09-21T00:15:00+02:00,2026-09-20T22:15:00+00:00,14.25,False,19.25,True,EUR/MWh
SE3,2026-09-21T00:30:00+02:00,2026-09-20T22:30:00+00:00,10.96,False,15.96,True,EUR/MWh
SE3,2026-09-21T00:45:00+02:00,2026-09-20T22:45:00+00:00,10.0,False,15.0,True,EUR/MWh
